Region,Project Name,Type,Location,Status,Source,Time_Info,All_Years,Min_Year,Max_Year,Likely_Completion_Year
Noordwest-Nederland,A28/A1 Knooppunt Hoevelaken,Road,Amersfoort,Paused (Planning),"MIRT 2026, p.175",2025  In het Bestuurlijk Overleg MIRT 2024 is afgespro - | 2023   Het project is gepauzeerd in het kader van de | 2022   Zoals gemeld in de MIRT-brief van 9 juni 2021 (TK | 2021   Door de ontbinding van het contract met de | De herprioritering van het Mobiliteitsfonds in 2023 is van invloed op dit,"[2021, 2022, 2023, 2024, 2025]",2021,2025,
Zuidwest-Nederland,A16 Rotterdam,Road,Rotterdam North,Construction (Aanleg),"MIRT 2026, p.253","2025  De werkzaamheden verlopen voorspoedig. | Openstelling staat gepland voor eind 2025. | 2024  De geplande openstelling blijft 2025. | 2023   Het bestaande viaduct in de A16, ter hoogte van | 2022  De vertraging die in 2020 is opgetreden is | openstelling is hierdoor verschoven van 2024 naar | 2025. Renovatie van een bestaand viaduct in de | 2021   Het project heeft vertraging opgelopen als gevolg | 2020  Start uitvoering in februari 2019. Het project heeft | planning en financiën worden in 2020 inzichtelijk | 2025: Openstelling","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,2025,2025
Zuidwest-Nederland,RijnlandRoute,Road,Katwijk/Leiden,Construction (Aanleg),"MIRT 2026, p.255","2025  De werkzaamheden aan de N434, A4 en A44 zijn | afgerond. Op 5 juli 2024 is de N434 al opengesteld. | plaatsvinden. De Tjalmaweg (N206) is in 2023 al in | Europaweg (N206) is begin 2024 gegund en deze | weg zal naar verwachting in 2027 gereed zijn. | 2024  Het taakstellend budget is verlaagd met € 6 | prijsindexering 2024. De verlaging is per saldo | het verkeer. De Europaweg is begin 2024 gegund. | 2023  Het taakstellend budget is verlaagd met | het toekennen van de prijsindexering 2023. | 2022   De mijlpaal openstelling is verschoven van | 2020-2022 naar 2023-2025. Door diverse oorzaken | 2027: Openstelling Europaweg","[2020, 2022, 2023, 2024, 2025, 2027]",2020,2027,2027
Zuidwest-Nederland,Nieuwe Sluis Terneuzen,Water,Terneuzen,Construction (Aanleg),"MIRT 2026, p.270","2025  De Nieuwe Sluis Terneuzen is op 11 oktober 2024 | 2024   Het projectbudget is opgehoogd met € 20 miljoen | 2023   Het projectbudget is opgehoogd met de tweede | Vlaanderen in 2022 een aanvullende bijdrage | 2022   Het projectbudget is opgehoogd met de | aanvullende bijdrage gedaan in 2021. | De opleverdatum van maart 2023 is niet langer haalbaar als gevolg van | ondergrond. De nieuwe datum is hierdoor verschoven naar Q4 2024. In | oktober 2024 is de sluis door beide Koningen officieel geopend, daarna | plaats vinden. De sluis wordt in 2025 gefaseerd in gebruik genomen.","[2021, 2022, 2023, 2024, 2025]",2021,2025,
Zuidwest-Nederland,Mainportontwikkeling Rotterdam,Water/Logistics,Port of Rotterdam,Construction (Aanleg),"MIRT 2026, p.272","2024   Het budget van € 26,9 miljoen voor de natuur - | 2021   Bestaand Rotterdams Gebied (BRG) en 750 | 2020   Eindevaluatie Project Mainportontwikkeling | zullen naar verwachting uiterlijk 2040 volledig zijn uitgegeven. In 2017 is","[2017, 2020, 2021, 2024, 2040]",2017,2040,
Zuidwest-Nederland,PHS Rijswijk-Rotterdam,Rail,Rijswijk/Rotterdam,Construction (Aanleg),"MIRT 2026, p.264",2025  Op basis van een inventarisatie van de nog uit te | 2023  De binnen het programma Spoorcapaciteit 2030 | infrastructuur wordt op z’n vroegst in 2024 in | 2022   Vanuit het projectbudget Spoorcapaciteit 2030 is | 2021   In verband met het verlenen van de subsidie - | 2020   In de bestuursovereenkomst Spoortracé | gesteld om vanaf 2024 meer treinen op het traject Rijswijk – Rotterdam | 2024-2026: Oplevering,"[2020, 2021, 2022, 2023, 2024, 2025, 2026, 2030]",2020,2030,2026
Zuidwest-Nederland,MoVe (Mobiliteit en Verstedelijking),Program,Rotterdam/Den Haag,Program,"MIRT 2026, p.224",2025  Het programma MoVe richt zich op waarmaken en | knelpunten en daarmee de uitdagingen voor 2040 | met doorkijk naar 2050 zijn in kaart gebracht. | 2024  In 2023 is de nieuwe koers voor het programma | Uit de Integrale Mobiliteitsanalyse 2021 (IMA) bleek dat er op termijn,"[2021, 2023, 2024, 2025, 2040, 2050]",2021,2050,
Zuidwest-Nederland,Oude Lijn,Rail/Housing,Leiden-Dordrecht,Exploration (Verkenning),"MIRT 2026, p.232",2025  ‘Eind 2024 is de Nota Kansrijke | Voorkeursalternatief op hoofdlijnen eind 2025.’ | 2024    Begin 2024 is het budget voor de Oude Lijn | 2023   Het project is nieuw opgenomen in het MIRT. | 54.000 woningen op de elf toplocaties langs de Oude Lijn tot 2030 | (exclusief De Vlietlijn en Oostflank Rotterdam). Na 2030 worden met de | De MIRT-verkenning is in november 2022 gestart met het uitbrengen | hoofdlijnen is voorzien voor eind 2025.,"[2022, 2023, 2024, 2025, 2030]",2022,2030,
Zuidwest-Nederland,De Vlietlijn (CID Binckhorst),OV/Housing,Den Haag/Binckhorst,Planning,"MIRT 2026, p.242","2025  De naam van het project is gewijzigd in De | BDU-uitkering 2025 is € 6,3 miljoen beschikbaar | 2023   Bij het Bestuurlijk Overleg MIRT 2022 is € 213 | miljoen (prijspeil 2022) toegevoegd vanuit de | Binckhorst toegevoegd. Eind 2023 is het | 2022   In 2022 is er € 4,5 miljoen overgeheveld naar de | 2021   Project is nieuw opgenomen in het MIRT. | In het Bestuurlijk Overleg MIRT van november 2020 is besloten deze | de omgeving. Als eerste stap wordt in de periode tot 2025 een","[2020, 2021, 2022, 2023, 2025]",2020,2025,
Zuidwest-Nederland,Oostflank Rotterdam (Stadsbrug & OV),Bridge/Housing,Rotterdam,Planning,"MIRT 2026, p.244","2025  De naam van het project Stadsbrug, HOV en station | 2024  In 2024 is het rijksdeel voor het station Stadionpark | een bedrag van € 138,6 miljoen (prijspeil 2024). | Begin 2024 is het voorkeursbesluit genomen. | 2023   Het project is nieuw opgenomen in het MIRT. | In het Bestuurlijk Overleg MIRT van november 2022 hebben het Rijk en | bestaande uit de realisatie van 19.000 woningen tot en met 2030 en | ongeveer 16.000 woningen in de periode na 2030, waarvan 30.000 op | de periode tot en met 2030. | december 2023 door de gemeenteraad is vastgesteld, en de ondertekening | van een Bestuursovereenkomst in januari 2024. De Bestuursovereenkomst | 7 februari 2024 gepubliceerd in de Staatscourant (nr. 3145).","[2022, 2023, 2024, 2025, 2030]",2022,2030,
Zuidwest-Nederland,A4 Haaglanden-N14,Road,Den Haag,Paused (Planning),"MIRT 2026, p.236",2025  In het Bestuurlijk Overleg MIRT 2024 is besloten | van een korte termijn aanpak voor 10 jaar tot 2035 | 2023  Het project is gepauzeerd in het kader van de | 2022   Zoals gemeld in de MIRT-brief van 9 juni 2021 (TK | 2021   Het ontwerp-tracébesluit van de A4 | Haaglanden-N14 is in het voorjaar van 2020 | Uit een aantal studies blijkt dat er in de regio Haaglanden sinds 2020 | De herprioritering van het Mobiliteitsfonds in 2023 is van invloed op dit,"[2020, 2021, 2022, 2023, 2024, 2025, 2035]",2020,2035,
Zuidwest-Nederland,A15 Papendrecht-Gorinchem,Road,Gorinchem,Paused (Verkenning),"MIRT 2026, p.227","2025  In het Bestuurlijk Overleg MIRT 2024 is besloten | periode 2026-2035 (€ 8,5 miljoen) met een | 2023  Het project is gepauzeerd in het kader van de | 2022  In het Bestuurlijk Overleg MIRT van najaar 2020 | 2020  In het Bestuurlijk Overleg MIRT van najaar 2018 | afgesproken dat over de periode 2019-2022 een korte termijn-maatre-","[2018, 2019, 2020, 2022, 2023, 2024, 2025, 2026, 2035]",2018,2035,
Zuidwest-Nederland,A4 Burgerveen-N14,Road,Leiden,Paused (Planning),"MIRT 2026, p.234",2025   Het project is gepauzeerd vanwege stikstof - | 2023   De aanhoudende onzekerheid rondom de | 2021   Vanwege een gedeeltelijke uitbreiding van de A4 | Nadat medio 2020 de Structuurvisie is gepubli - | 2020   Eind 2018 is het budget verhoogd met € 80,"[2018, 2020, 2021, 2023, 2025]",2018,2025,
Zuid-Nederland,A2 Het Vonderen-Kerensheide,Road,Limburg,Construction (Aanleg),"MIRT 2026, p.318",2024  In de zomer van 2023 is de wegverbreding gegund | Tweede Kamer is hierover op 13 juli 2023 | 2022  De aanbesteding van het project is in 2022 | gestart. Het taakstellend budget is in 2022 naast | 2021  Het tracébesluit is 7 april 2021 onherroepelijk | 2025-2029: Openstelling | volwaardige rijstroken. De provincie Limburg draagt in 2020 een bedrag | is beschikbaar vanaf 2022. In het Bestuurlijk Overleg MIRT van najaar | 2017 is afgesproken dat het Rijk bereid is al in 2020 maximaal € 35,"[2017, 2020, 2021, 2022, 2023, 2024, 2025, 2029]",2017,2029,2029
Zuid-Nederland,A27 Houten-Hooipolder,Road,Noord-Brabant/Utrecht,Construction (Aanleg),"MIRT 2026, p.320",2025  Vanwege financiële tegenvallers is de fasering van | voor het Mobiliteitsfonds op 22 mei 2025 | medio 2026 geïnformeerd over de omvang van de | 2022) is gemaakt van € 329 miljoen toe-gevoegd | 2024  Vanwege de excessieve prijsstijging is het | projectbudget middels de Voorjaarsnota 2024 | het voorjaar 2024 de werkzaamheden gestart. | 2023  Begin 2023 zijn zowel het zuidelijk als noordelijk,"[2022, 2023, 2024, 2025, 2026]",2022,2026,
Zuid-Nederland,Maaslijn,Rail,Nijmegen-Roermond,Construction (Aanleg),"MIRT 2026, p.325","2024  De aanbesteding heeft plaatsgevonden en er is | 2023   In de BO MIRT-brief (TK 36 200, nr. 9) is op 14 | november 2022 aan de Kamer gemeld dat ProRail | 2027. | 2022   Medio 2020 hebben het Rijk en de provincie | 27 december 2021, nr. 48349). Hierin is vastgelegd | € 148 miljoen (pp 2021). | 2021: Projectbeslissing, start aanlegfase | 2027: Oplevering maatregelenpakket Maaslijn | aansturing van het project. In februari 2020 is de bestuursovereenkomst | in juli 2021 aanvullende afspraken gemaakt over financiën en samen- | Voorjaarsnota 2022. | nemen van de Projectbeslissing in december 2021. Het project wordt | Limburg. In november 2021 is het Provinciaal Inpassingsplan vastgesteld","[2020, 2021, 2022, 2023, 2024, 2027]",2020,2027,2027
Zuid-Nederland,Meanderende Maas,Water,Ravenstein-Lith,Construction (Aanleg),"MIRT 2026, p.335",2024  Op 9 juli 2024 is de bestuursovereenkomst voor | 2022   In februari 2021 is een addendum bij de bestuurs - | 2020   In september 2020 is de bestuursovereenkomst | Staatscourant van 24 juli 2024. De Kamer is hierover geïnformeerd in de | MIRT-brief van najaar 2024 (Kamerstuk 36600 A nr. 16 d.d. 12 november | 2024). De KRW-maatregelen zijn gereed in december 2027. De | dijkversterkingsmaatregelen zijn eind juni 2028 gereed. Het gehele | project is eind 2030 gereed en opgeleverd.,"[2020, 2021, 2022, 2024, 2027, 2028, 2030]",2020,2030,2030
Zuid-Nederland,PHS Meteren-Boxtel,Rail,Vught/Boxtel,Construction (Aanleg),"MIRT 2026, p.327","2025  De ontwikkeling van een nieuwe generatie seinen | veroorzaakt door de delta toegekende IBOI 2024 | versus de CBS index 2024. | 2024  De Raad van State heeft het tracébesluit | waarbij de in 2021 afgesproken mijlpalen naar | 2018/2020/2023: Grondaankoop, kabels en leidingen verleggingen | 2020: Contractering ingenieursdiensten en architect, tracébesluit en | 2024: Onherroepelijk tracébesluit, start werkzaamheden (contract | 2031: Oplevering","[2018, 2020, 2021, 2023, 2024, 2025, 2031]",2018,2031,2031
Zuid-Nederland,A2/N2 Brainport,Road,Eindhoven,Exploration (Verkenning),"MIRT 2026, p.291",2025  In het Bestuurlijk Overleg (BO) MIRT 2024 is | regio voor deze integrale verkenning. In mei 2025 is | 2024  In het Beethovenconvenant (28 maart 2024) is een | 2023   Eind 2022 zijn in het BO MIRT investeringsbeslissin - | 2022   In 2021 is het vervolg op het MIRT-onderzoek | Bestuurlijk Overleg MIRT eind 2021 (vanwege het | Eindhoven naar 2022 verschoven. | Brainportregio. In het BO MIRT 2024 heeft de minister van IenW met | de regionale bestuurders afgesproken in 2025 hiervoor de verkenning | 1  De vertraging op de westzijde van de Randweg Eindhoven A2/N2 bedroeg in 2023 tussen de | 250 en 500 voertuigverliesuren op een gemiddelde werkdag. Rijkswaterstaat (2024). | Rapportage Rijkswegennet 2023. | 2  Het gaat om: Studio Bereikbaar (2021). Netwerkstrategie HWN/OWN Eindhoven. | Eindrapportage en Studio Bereikbaar (2024). Actualisatie netwerkstrategie HWN-OWN A2/N2,"[2021, 2022, 2023, 2024, 2025]",2021,2025,
Zuid-Nederland,SmartwayZ.NL,Program,Zuid-Nederland,Program,"MIRT 2026, p.286",2025   Tijdens het Bestuurlijk Overleg MIRT 2024 tussen | uitwerking van de MMA in 2025. Daarnaast is het | werkprogramma SmartwayZ.NL 2025-2027 | 2024   Tijdens het Bestuurlijk Overleg MIRT 2023 tussen | SmartwayZ.NL 2024-2027 vastgesteld in de | 2023   In 2023 vindt een strategische heroriëntatie plaats,"[2023, 2024, 2025, 2027]",2023,2027,
Zuid-Nederland,A58 Tilburg-Breda,Road,Tilburg/Breda,Paused (Verkenning),"MIRT 2026, p.289","2025  In het Bestuurlijk Overleg MIRT 2024 is afgespro - | mobiliteitsmaatregelenpakket vanaf 2025 om de | 2023   Het Rijk en de regio hebben afgesproken de | 2022   Afronding van de verkenning is vertraagd, met | economische verlieskosten op de A58 tussen Tilburg en Breda rond 2030","[2022, 2023, 2024, 2025, 2030]",2022,2030,2022
Zuid-Nederland,A67 Leenderheide-Geldrop,Road,Eindhoven,Paused (Planning),"MIRT 2026, p.304",2025   In het BO MIRT 2024 is afgesproken dat de regio | 2023  Het project is gepauzeerd in het kader van de | 2021  In december 2019 is een afspraak gemaakt in de | voorjaar van 2020 de structuurvisie voor dit | gelpakket. In 2020 is de structuurvisie A67 Leenderheide -,"[2019, 2020, 2021, 2023, 2024, 2025]",2019,2025,
Zuid-Nederland,A2 Deil-Vught,Road,Den Bosch,Paused (Planning),"MIRT 2026, p.300",2025  In het Bestuurlijk Overleg MIRT 2024 tussen Rijk | 2023   In oktober 2022 is het voorkeursalternatief | 2022  Na ondertekening van de bestuursovereenkomst | 2021  De planning is geactualiseerd. Doordat aan - | het voorkeursalternatief niet in 2020 worden | De herprioritering van het Mobiliteitsfonds in 2023 is van invloed op dit | basis van filegegevens van 1 mei 2024 tot en met 30 april 2025.,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,
Oost-Nederland,A1 Apeldoorn-Azelo,Road,Apeldoorn/Twente,Construction (Aanleg),"MIRT 2026, p.375",2024  Het gehele traject is op 2 december 2024 | 2023  De opdracht voor fase 2b is op 22 maart 2022 | 2022  In september 2020 is de extra rijstrook tussen Twello | en Rijssen opengesteld. Begin juni 2021 is het | 2021  De minister heeft in juni 2020 bekendgemaakt fase 2 | 2020  De minister heeft in maart 2019 bekendgemaakt voor | Openstelling begrotingsjaar MIRT 2024: | Fase 1 en 2a: 2020-2021 | Fase 2b: 2025,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,2025,2024
Oost-Nederland,A12/A15 Ressen-Oudbroeken (ViA15),Road,Arnhem/Nijmegen,Construction (Aanleg - Pending),"MIRT 2026, p.377",2025  In oktober 2024 heeft de Raad van State het | 2024  In maart 2024 heeft de Raad van State een derde | 2023   In een tussenuitspraak (5 april 2023) heeft de Raad | 2022  Na de tussenuitspraak van de Raad van State in | januari 2021 is op 13 september 2021 een | De Raad van State heeft in oktober 2024 het tracébesluit van de ViA15,"[2021, 2022, 2023, 2024, 2025]",2021,2025,
Oost-Nederland,PHS Nijmegen,Rail,Nijmegen,Construction (Aanleg),"MIRT 2026, p.385","2025  Het projectbudget is verhoogd met € 2 miljoen | 2024 versus de CBS-index 2024. | 2024  In verband met de afgifte van een aanvullende | 2023  In verband met de afgifte van de realisatie - | 2022   Het project is nieuw opgenomen in het MIRT. | 2021: Ontwerp-tracébesluit | 2022: Tracébesluit en projectbeslissing | 2024: Gunning van opdracht | 2028: Indienststelling | Het project is begin 2024 gegund, waarmee het in de realisatiefase zit. | december 2028, waarbij voldoende rekening gehouden wordt met de | dienstregeling 2029 (eind 2028) kunnen de treinen precies elke tien","[2021, 2022, 2023, 2024, 2025, 2028, 2029]",2021,2029,
Oost-Nederland,Rivierklimaatpark IJsselpoort,Water,IJssel,Planning,"MIRT 2026, p.373",2025  In 2024 zijn het Startdocument en Ruimtelijk | Perspectief ter inzage gelegd. Deze zijn begin 2025 | 2023    Er is een partieel uitvoeringsbesluit voor de | 2022   De planuitwerking is gestart. | 2020   De voorkeursbeslissing is genomen. | 2026: Projectbeslissing | 2026-2027: Aanleg van deelproject incl. onderdeel KRW | 2026-2030: Aanleg van deelprojecten | 2030: Openstelling | De voorkeursbeslissing is genomen in oktober 2020.,"[2020, 2022, 2023, 2024, 2025, 2026, 2027, 2030]",2020,2030,2030
Oost-Nederland,A50 Ewijk-Bankhoef-Paalgraven,Road,Nijmegen/Eindhoven corridor,Paused (Planning),"MIRT 2026, p.358",2025  Het project is gepauzeerd vanwege stikstof - | 2024  In Q2 2024 is de Voorkeursbeslissing A50 Ewijk | 2021  De MIRT-verkenning is gestart.,"[2021, 2024, 2025]",2021,2025,
Oost-Nederland,A1/A30 Barneveld,Road,Barneveld,Paused (Planning),"MIRT 2026, p.352",2025  In het Bestuurlijk overleg MIRT 2024 is afge - | 2023  Het project is gepauzeerd in het kader van de | 2022   Het voorkeursalternatief is begin 2021 vastgesteld | 2021   Het project is nieuw opgenomen in het MIRT. | De herprioritering van het Mobiliteitsfonds in 2023 is van invloed op dit | Rijkswaterstaat in de periode 2027/2028.,"[2021, 2022, 2023, 2024, 2025, 2027, 2028]",2021,2028,
Oost-Nederland,A1/A35 Knooppunt Azelo-Buren,Road,Twente,Paused (Planning),"MIRT 2026, p.354",2025   De resterende Rijksreservering voor het project is | 2023  Het project is gepauzeerd in het kader van de | 2022  Op het Bestuurlijk Overleg MIRT 2020 is | 2021  Het verkorte MIRT-onderzoek is in het najaar van | en in het Bestuurlijk Overleg MIRT 2020 | 2020  Het project is nieuw opgenomen in het MIRT. | Bestuurlijk Overleg MIRT 2020 besloten om over te gaan tot de aanleg | De herprioritering van het Mobiliteitsfonds in 2023 is van invloed op dit,"[2020, 2021, 2022, 2023, 2025]",2020,2025,
Oost-Nederland,RegioExpres,Rail,Arnhem-Winterswijk,Planning,"MIRT 2026, p.368",2023   Project nieuw opgenomen in het MIRT. | Met het Bestuurlijk Overleg MIRT 2022 hebben het Rijk en de regio | Dit is onderdeel van de Woningbouw- en Mobiliteitafspraken (2022).,"[2022, 2023]",2022,2023,
Noord-Nederland,A7 Zuidelijke Ringweg Groningen (Phase 2),Road,Groningen,Construction (Aanleg),"MIRT 2026, p.422",2024  Op 2 september 2024 is de weg opengesteld voor | 2022   Opdrachtnemer en opdrachtgever hebben | uit op € 836 miljoen (RWS-2021/795). De | 2025. | 2021  Opdrachtnemer en opdrachtgever hebben | 2024: Openstelling | Op basis daarvan hebben opdrachtgever en opdrachtnemer in 2021,"[2021, 2022, 2024, 2025]",2021,2025,2024
Noord-Nederland,Verruiming Sluiscomplex Kornwerderzand,Water,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.424","2025   Het kabinet heeft besloten om de gereserveerde | 2024  De kosten van het project lijken door meerdere | 2023   Onderdeel van de financiering van het project is | 2020: Start van het project. | 2025-2029: Als gevolg van de bovengenoemde scenario-uitwerking, zal | onderhoud, zijn geraamd op € 575 miljoen (prijspeil 2024). | met de brief van 24 juni 2020. De provincie Fryslân is verantwoordelijk","[2020, 2023, 2024, 2025, 2029]",2020,2029,
Noord-Nederland,N33 Zuidbroek-Appingedam,Road,Groningen,Planning,"MIRT 2026, p.416","2025   Rijk en regio zijn in overleg over de financiën, | 2024  Met de kabinetsreactie ‘Nij begun’ stelt het kabinet | 2023   Met de kabinetsreactie ‘Nij begun: op weg naar | erkenning, herstel en perspectief’ van 25 april 2023 | 2022  Als gevolg van de landelijke stikstofproblematiek | Tijdens het Bestuurlijk Overleg MIRT van 6 november 2023 hebben het | vastgesteld. Daarop is het ontwerp-tracébesluit op 9 juni 2020","[2020, 2022, 2023, 2024, 2025]",2020,2025,
Noord-Nederland,Lelylijn,Rail,Lelystad-Groningen,Research (Onderzoek),"MIRT 2026, p.403",2025  De beslisinformatie voor het MIRT-onderzoek is | nota 2025 heeft geresulteerd in een reservering | 2024  In het Bestuurlijk Overleg MIRT 2024 is het | 2023  Het project is nieuw opgenomen in het MIRT. | 2023: Start voorbereidingsfase. | 2024: In het Bestuurlijk Overleg MIRT 2024 wordt de voorbereidingsfase | 2025: Er wordt gewerkt aan een Masterplan Lelylijn. | 2026: Masterplan afgerond.,"[2023, 2024, 2025, 2026]",2023,2026,
Noord-Nederland,Nedersaksenlijn,Rail,Enschede-Groningen,Research (Onderzoek),"MIRT 2026, p.405",2025  Het kabinet spant zich in om uiterlijk op | 2024   Op het Bestuurlijk Overleg MIRT 2024 is het | 2023   Het project is nieuw opgenomen in het MIRT. | 2023: De voorbereidingsfase start voor de gehele lijn en de planuitwer- | 2024: Op het Bestuurlijk Overleg MIRT 2024 wordt de voorbereidings- | 2025: Uiterlijk op het BO MIRT wordt de startbeslissing voor de,"[2023, 2024, 2025]",2023,2025,
Noord-Nederland,Vaarweg Lemmer-Delfzijl,Water,Friesland/Groningen,Planning,"MIRT 2026, p.418","2025   In maart 2025 is de Bestuursovereenkomst | 2024  Op 12 januari 2024 is de tijdelijke verbinding Gerrit | 2023   Er is aanvullend budget beschikbaar gesteld om | 2029), net als de planning van de tijdelijke | verbinding (verwachte openstelling eind 2023). | 2022   Er bleek onvoldoende programmabudget te zijn | daarom eind 2021 een prioritering afgesproken | • Openstelling Gerrit Krolbrug: 2029 | • Openstelling Paddepoelsterbrug: 2026-2027* | **  Rijk en Regio besluiten in het Bestuurlijk Overleg MIRT 2022 om de beslissing","[2021, 2022, 2023, 2024, 2025, 2026, 2027, 2029]",2021,2029,2029
Noord-Nederland,Bereikbaarheid Ameland,Water,Wadden Sea,Exploration (Verkenning),"MIRT 2026, p.406",2025  Het project is nieuw opgenomen in het MIRT. De | op 14 november 2024 genomen. | In de Startbeslissing van november 2024 is opgenomen dat in ieder,"[2024, 2025]",2024,2025,
