Name,Description
"Development of the area ""Langs Eem en Spoor""","A mixed‑use development comprising several subareas along the Eem, including housing and office blocks."
Dijkversterking Marken,Reinforcing the Westkade and Zuidkade dikes of the Marken peninsula outward to resolve stability and height deficits.
Ecologische Waterkwaliteit Friese IJsselmeerkust,"Ecological water quality project along the Frisian IJsselmeer coast involving small-scale measures like the creation of shallow zones, sheltered areas, and fish passages."
Eemszijlen/Groote Polder,"Creation of approximately 40 hectares of estuarine nature inside the dikes to strengthen nature, economy, and livability."
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,Electrification of regional railway lines Almelo-Mariënberg and Zutphen-Hengelo-Oldenzaal to replace older diesel train fleets with zero-emission trains.
Emplacement Den Haag Centraal,"Reconfiguration of the Den Haag Centraal railway yard to handle increased train frequencies, including reconnecting platforms 11 and 12 and adjusting the track layout."
EuregioRail: Zwolle - Twente - Münster,"Electrification of the railway track between Enschede and the German border, and the through-connection of trains at Enschede station."
Gebiedsontwikkeling Vierwaarden,Water safety project combining dike reinforcements and river widening along the Maas north of Venlo.
Goederenroute Elst-Deventer-Twente (NaNOV),Upgrades to the existing freight rail route including the replacement of level crossings with underpasses and the installation of noise barriers.
Grensmaas,"River widening, gravel extraction, and nature development along the Maas to lower high-water levels and achieve a 1:250 flood protection level."
HOV-Net Zuid-Holland Noord,"Development of a high-quality regional public transport network consisting of two train corridors and six bus corridors, including the construction of new stations and dedicated bus lanes."
Hub 's-Hertogenbosch,"Integral upgrade of the 's-Hertogenbosch station area including a new platform, traverse, and bus station, in conjunction with building 4,800 homes by 2030 and an estimated 10,000 homes post-2030."
Inframaatregelen MerwedeLingeLijn,"Infrastructure upgrades on the MerwedeLingeLijn (Dordrecht to Geldermalsen) to accommodate ERTMS, including platform extensions and power supply changes."
Koehool-Lauwersmeer,"Ecological improvement project focused on creating fish passages, inland breeding areas, and optimizing salt marshes along the Wadden Sea coast."
Lauwersmeer-Vierhuizergat,"Installation of a tidal culvert to create 70 hectares of estuarine habitat, alongside the construction of offshore salt marshes and tidal reefs."
Lelylijn,"An investigation into a major new railway connection designed to strengthen the economy, housing development, and accessibility between the Randstad and Northern Netherlands."
Lob van Gennep,Enhancement of water safety in a 20-square-kilometer area by improving water retention capacity during extreme high water levels along the Meuse river.
Maaslijn,"Electrification of the entire single-track railway line between Nijmegen, Venlo, and Roermond, including the construction of extra tracks at several locations to allow trains to pass."
"Maasroute, Modernisering fase 2","Upgrading the waterway to Class Vb, increasing bridge clearance heights, widening the Elsloo bend, and creating passing lanes in the Julianakanaal to improve lock capacity and ship flow."
Meanderende Maas,"Reinforcement of 26 kilometers of dikes on the Brabant side of the Maas between Ravenstein and Lith, combined with river widening and the creation of 600 hectares of new nature."
Multimodale knoop Schiphol,"This project tackles capacity bottlenecks by upgrading the train platforms, stairs, escalators, bus station, and the main plaza hall to accommodate growing passenger streams up to the year 2035."
N35 Wijthmen-Nijverdal,"An exploration to upgrade the N35 road between Wijthmen and Nijverdal to improve traffic safety and flow, potentially upgrading it to an expressway."
Nijmegen omarmt de Waal (Waalfront),"Urban transformation of a 33-hectare industrial area into a new residential and commercial district containing approximately 2,100 homes."
Noord-Hollandse Markermeerkust,Creating and improving habitats for birds and fish along the Markermeer coast across multiple locations to strengthen the ecosystem.
Oeffelt,Resolving a river bottleneck by widening the flow opening at the bridge by 250 meters and lowering the adjacent floodplain by 1 meter.
Oostvaardersoevers,"Connecting regional lakes and wetlands into a robust ecosystem using innovative waterworks, including a fish passage and shallow zones in the Markermeer."
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,"Redevelopment of the public transport hub at Nijmegen station, including a new station hall, bus square, and an expanded underground bicycle parking facility."
OV-verbinding Amsterdam - Haarlemmermeer,"A new public transport connection to relieve the national railway network and Schiphol tunnel, unlocking new residential (325,000) and work locations."
OV-verbinding Sloterdijk - Amsterdam Centrum,"Development of a public transport connection, including closing the metro Ring line, to facilitate the development of over 53,000 homes and 48,000 workplaces in Haven-Stad Zuid."
PHS Alkmaar-Amsterdam,"Upgrading the corridor for high-frequency trains, including a new stabling yard in Heerhugowaard, station reconfiguration at Uitgeest, and level crossing adaptations."
PHS Amsterdam,"Major capacity expansion at Amsterdam Centraal, including widening platforms, expanding passenger tunnels, and modifying tracks and switches."
PHS Ede,"Modification of the Ede-Wageningen railway station to support high-frequency rail, adding an extra platform, perron tracks, and expanding transfer capacity."
PHS Meteren-Boxtel,"Capacity expansion on the Amsterdam-Eindhoven rail corridor, including a new connection curve at Meteren, a fourth track and a grade-separated crossing between Den Bosch and Vught, and a sunken railway section in Vught."
PHS Nijmegen,"Functional upgrades to Nijmegen station including increased transfer capacity, new platforms, track adjustments, and a new western entrance."
PHS Rijswijk-Rotterdam,"Expansion of the railway track from two to four tracks between Rijswijk and Delft Zuid, including tunnel expansion and yard layout modifications between Schiedam and Rotterdam."
Pilot Buitendijkse Slibsedimentatie,A pilot project to naturally extract sludge from the water column outside the dikes to reduce turbidity and improve the ecological quality of the Eems-Dollard estuary.
Project Mainportontwikkeling Rotterdam,"A mega-project featuring the land reclamation of 1,000 hectares for new port area (Tweede Maasvlakte), deepening of the Nieuwe Waterweg, and the creation of 750 hectares of nature compensation."
Randstadrail/Metronet,"Upgrading existing regional transit corridors by coupling RandstadRail vehicles, increasing Metro line frequencies, renewing signaling, and expanding Station Beurs."
RegioExpres,"Realization of a fast train service between Arnhem, Doetinchem, and Winterswijk, requiring the construction of additional double track to increase capacity and support 25,000 new regional homes."
Rijnlandroute,"Construction of a new regional highway (N434) and the widening of existing roads (A44, N206) between Katwijk and Leiden, including bored tunnels and new junctions."
Rivierklimaatpark IJsselpoort,"A river climate park focusing on water safety, nature, and recreation, which includes significant river widening measures between Arnhem and Doesburg."
Station Groningen Suiker,"Construction of a new train station and infrastructure adjustments to unlock the De Suikerzijde area, which includes 4,300 homes until 2030 and 3,800 homes after 2030."
Toekomstvast Spoor Zuidoost-NL,Integral rail network upgrade including the construction of 740-meter waiting tracks for freight trains in Venlo and the adaptation of track bundles at the Eindhoven rail yard.
Traject Oost,"Various capacity and safety upgrades along the Utrecht-Arnhem rail corridor, with the remaining major work being a railway underpass in Maarsbergen."
"Vaarweg Lemmer-Delfzijl, fase 2","Upgrading the main waterway to accommodate class Va ships, including the replacement of eight bridges and implementation of remote-controlled industrial automation."
Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),"Deepening the shipping channel in the IJsselmeer to accommodate class Vb inland vessels, primarily achieved through sand extraction concessions."
Verruiming Sluiscomplex Kornwerderzand,"Widening of the Kornwerderzand lock complex, replacement of adjacent bridges, and deepening of navigation channels to accommodate larger sea-going vessels."
Well,Construction of a 'Green River' bypass alongside dike reinforcements to significantly lower water levels downstream and improve overall safety.
Zandsuppletie Galgeplaat,A large-scale sand nourishment project on the Galgeplaat tidal flat to combat erosion and preserve the ecological and recreational value of the Oosterschelde.
Zeetoegang IJmond,"Construction of a new, 70-meter wide sea lock at IJmuiden and implementation of selective extraction measures to prevent salinization."
Zuidasdok,Placing the A10 Zuid highway underground into tunnels and significantly expanding the Amsterdam Zuid public transport terminal.
Zuidelijk Maasdal,"Project addressing water safety (dike reinforcement, river widening) and nautical safety (upgrading the Maas to class Vb) in Maastricht, plus a new slow-traffic bridge."
Afsluitdijk,"Reinforcing the 32-kilometer dike structure, strengthening existing locks, and expanding water discharge capacity at Den Oever."
MIRT-verkenning OV en Wonen,"Improvement of the public transport system, including the Merwedelijn tram, to unlock approximately 85,000 new homes in the Utrecht region."
